ERROR_PAGE,Xato sahifasi,Сәтті бет,OrientSwiss_ZoodPay
SUCCESS_PAGE,Muvaffaqiyat sahifasi,Өшіру себебі: берілген API сілтемесі жарамсыз,OrientSwiss_ZoodPay
INVALID_API_LINK,Quyidagi sababga ko'ra o'chirish: yaroqsiz API havolasi,"Өшіру, берілген тіркелгі деректерін және API сілтемесін тексеріңіз",OrientSwiss_ZoodPay
CHECK_API_LINK_CREDENTIALS,"O'chirish, taqdim etilgan hisob ma'lumotlari va API havolasini tekshirish",Өшіру себебі: берілген тіркелгі деректерін тексеріңіз,OrientSwiss_ZoodPay
INVALID_API_CREDENTIALS,Quyidagi sababga ko'ra o'chirish: Taqdim etilgan hisob ma'lumotlarini tekshirish,Белсенді және жұмысқа қолжетімді,OrientSwiss_ZoodPay
ACTIVE_OPERATE,Faol va ishlatish uchun mavjud,Біз күйді тексеріп жатырмыз \n Бет қазір қайта жүктеледі,OrientSwiss_ZoodPay
AVAILABLE_SERVICE,Below Are the Available Services,module,OrientSwiss_ZoodPay
RELOAD_PAGE,Biz holatni tekshirmoqdamiz \n sahifa hozir qayta yuklanadi,Ай сайын,OrientSwiss_ZoodPay
MONTHLY,Oylik,Қаржы опциялары қолжетімді,OrientSwiss_ZoodPay
AVAILABLE_FINANCE_OPTIONS,Mavjud moliyaviy imkoniyatlar,module,OrientSwiss_ZoodPay
LIMIT,Шектеу,module,OrientSwiss_ZoodPay
